Day,Ride Time,Ride Time (secs),Stopped Time,5Stopped Time (secs),6Latitude,7Longitude,8Elevation (feet),9Distance (miles),10Speed (mph),Pace,Pace (secs),Average Speed (mph),Average Pace,Average Pace (secs),16Ascent (feet),17Descent (feet),18Calories,19Heart Rate (bpm),Average Heart Rate (bpm),21Temperature
1,0:42:30,2549.7,0:00:00,0.3,45.5718348,-122.7282132,188,10.38,1.89,0:31:41,1901,14.66,0:04:06,246,144,181,549,130,131,81
1,0:55:41,3341,0:50:07,3007,45.4928843,-122.6111683,228,20.57,0.83,1:12:23,4343,22.17,0:02:42,162,193,147,674,125,126,86
6,0:37:26,2246.3,1:25:18,5117.7,45.700597,-121.4018111,-42,5.27,0.87,1:08:42,4122,8.44,0:07:06,426,971,930,473,98,130,
6,0:37:02,2222,0:44:07,2647,45.700597,-121.4017297,93,4.92,0.77,1:17:55,4675,7.97,0:07:32,452,854,838,505,111,136,
29,0:37:27,2246.7,0:08:39,519.3,45.5720187,-122.7278505,175,10.79,,,,17.29,0:03:28,208,155,183,419,94,120,65
30,0:36:26,2186.3,0:02:19,138.7,45.5718079,-122.7280395,166,10.79,0.03,0:00:00,0,17.76,0:03:23,203,163,224,463,105,130,59
30,0:40:37,2436.8,0:04:58,298.2,45.4928848,-122.611202,312,11.36,0.83,1:12:35,4355,16.78,0:03:35,215,310,184,448,100,118,83
31,0:33:33,2013.4,0:02:38,157.6,45.5717773,-122.7282586,171,10.64,0.12,0:00:00,0,19.03,0:03:09,189,145,181,458,119,136,61
31,0:37:34,2254.4,0:03:49,228.6,45.4928821,-122.6111818,216,10.66,1.82,0:32:55,1975,17.02,0:03:31,211,190,146,432,99,122,70
32,0:42:19,2538.5,0:04:34,274.5,45.5719413,-122.727912,152,10.57,7.7,0:07:48,468,14.99,0:04:00,240,224,305,408,100,109,61
32,0:36:26,2186.2,0:15:25,924.8,45.4929803,-122.6111729,235,10.73,1.01,0:59:33,3573,17.68,0:03:24,204,290,228,454,80,128,69
33,0:42:02,2521.7,0:28:12,1692.3,45.5719993,-122.7277962,180,10.49,1.6,0:37:29,2249,14.98,0:04:00,240,184,250,402,73,109,59
33,0:43:40,2620.3,0:07:07,426.7,45.492848,-122.6110833,257,11.93,1.49,0:40:18,2418,16.39,0:03:40,220,226,159,435,79,111,72
36,0:43:02,2581.9,0:05:29,329.1,45.5718079,-122.7280295,203,11.03,6.51,0:09:13,553,15.39,0:03:54,234,140,189,387,74,105,57
37,0:39:04,2344.1,0:04:23,262.9,45.571948,-122.7279101,163,10.49,1.15,0:52:08,3128,16.12,0:03:43,223,246,290,429,91,118,58
37,0:36:24,2183.7,0:03:46,226.3,45.4927374,-122.6112536,236,10.33,12.48,0:04:48,288,17.02,0:03:31,211,246,184,450,122,127,65
38,0:41:16,2475.9,0:12:05,725.1,45.5719356,-122.7279122,170,10.47,2.02,0:29:46,1786,15.23,0:03:56,236,151,188,392,87,108,60
38,0:39:05,2344.9,0:05:25,325.1,45.4929061,-122.6111788,223,10.5,3.91,0:15:22,922,16.11,0:03:43,223,192,135,405,86,114,66
39,0:37:49,2268.8,0:03:16,196.2,45.5718079,-122.7281469,157,10.46,0.56,1:46:57,6417,16.59,0:03:37,217,196,271,434,102,121,58
39,0:35:09,2109.2,0:04:13,252.8,45.4924538,-122.61458,236,10.28,12.53,0:04:47,287,17.55,0:03:25,205,255,195,430,124,127,79
40,0:41:36,2495.6,0:03:28,208.4,45.5717504,-122.7282286,171,10.46,4.2,0:14:17,857,15.08,0:03:59,239,143,188,368,90,104,57
40,0:39:05,2345,0:04:22,262,45.492793,-122.6112808,232,10.28,9.32,0:06:26,386,15.77,0:03:48,228,197,125,428,100,118,82
43,0:36:33,2193.3,0:04:11,250.7,45.5717472,-122.7281766,159,10.19,4.17,0:14:23,863,16.72,0:03:35,215,225,300,419,102,121,59
43,0:35:17,2116.5,0:04:10,250.5,45.4928635,-122.611243,259,10.45,2.15,0:27:55,1675,17.77,0:03:23,203,271,212,428,131,126,73
44,0:36:55,2215.5,0:03:50,229.5,45.5717163,-122.7284424,160,10.29,1.45,0:41:31,2491,16.72,0:03:35,215,145,195,408,89,119,54
44,0:41:03,2462.8,0:05:14,314.2,45.4928589,-122.6111821,241,11.11,3.32,0:18:05,1085,16.24,0:03:42,222,273,201,435,109,116,70
45,0:39:07,2347,0:04:40,280,45.571661,-122.728282,224,10.4,13.14,0:04:34,274,15.95,0:03:46,226,145,199,425,96,117,56
45,0:36:50,2210.2,0:03:23,202.8,45.4924602,-122.613346,221,10.28,15.17,0:03:57,237,16.75,0:03:35,215,225,192,434,108,124,77
46,0:37:42,2262.3,0:02:35,154.7,45.5717073,-122.7284776,163,10.57,7.83,0:07:40,460,16.81,0:03:34,214,198,263,462,100,127,51
46,0:34:28,2067.9,1:00:26,3626.1,45.4928903,-122.6111312,236,10.34,2.97,0:20:13,1213,18,0:03:20,200,196,149,432,97,128,84
47,0:38:00,2280.2,0:04:46,285.8,45.5717441,-122.7282497,177,10.08,4.08,0:14:43,883,15.92,0:03:46,226,148,161,381,95,112,56
47,0:39:04,2344.2,0:06:34,393.8,45.4929024,-122.6112708,248,10.68,5.33,0:11:16,676,16.4,0:03:40,220,196,171,443,107,121,80
57,0:39:22,2361.6,0:04:51,291.4,45.5720171,-122.7278366,183,10.7,3.99,0:15:03,903,16.31,0:03:41,221,186,222,484,101,127,49
57,0:36:38,2198.2,0:06:23,382.8,45.4928902,-122.611118,240,10.79,2.69,0:22:19,1339,17.67,0:03:24,204,311,224,455,112,128,56
58,0:35:47,2147,0:05:15,315,45.5718253,-122.7282437,188,10.42,2.26,0:26:33,1593,17.48,0:03:26,206,221,253,435,105,126,49
58,0:43:40,2619.5,0:07:22,442.5,45.4928592,-122.6112746,243,10.79,2.63,0:22:50,1370,14.83,0:04:03,243,219,154,469,90,117,54
59,0:39:17,2357,0:21:56,1316,45.571991,-122.7278366,187,13.07,35.74,0:01:41,101,19.96,0:03:00,180,140,197,467,96,124,50
59,0:41:13,2473,0:12:47,767,45.4929742,-122.6111683,229,10.49,3.54,0:16:56,1016,15.27,0:03:56,236,234,199,480,106,123,52
60,0:37:38,2258.1,0:07:07,426.9,45.5717918,-122.7283485,169,10.45,0.72,1:23:37,5017,16.67,0:03:36,216,142,187,435,102,122,48
60,0:38:11,2291.4,0:01:54,113.6,45.5717925,-122.7282309,205,10.1,5.81,0:10:20,620,15.87,0:03:47,227,178,184,416,107,118,52
60,0:41:56,2515.6,0:10:37,637.4,45.4930066,-122.6112089,218,10.6,1.36,0:44:05,2645,15.16,0:03:57,237,229,197,442,82,115,54
63,0:39:14,2354.3,0:07:35,454.7,45.5717775,-122.7282054,175,10.4,0.29,3:25:45,12345,15.91,0:03:46,226,217,255,447,116,121,55
63,0:37:52,2271.9,0:07:10,430.1,45.4928872,-122.6111561,264,10.16,2.38,0:25:11,1511,16.1,0:03:44,224,224,178,483,102,130,54
64,0:36:03,2162.6,0:03:27,207.4,45.5717469,-122.7282887,181,10.41,0.13,0:00:00,0,17.33,0:03:28,208,184,233,497,116,137,46
64,0:36:33,2192.5,0:02:18,138.5,45.4928614,-122.6112706,221,10.19,2.2,0:27:19,1639,16.72,0:03:35,215,290,243,508,111,138,52
65,0:39:14,2353.8,0:03:58,238.2,45.5717965,-122.7282039,156,10.46,1.05,0:56:56,3416,15.99,0:03:45,225,234,304,474,108,126,42
65,0:43:06,2585.9,0:02:57,177.1,45.4928694,-122.6111593,219,10.71,1.49,0:40:15,2415,14.91,0:04:01,241,234,208,509,106,124,45
66,0:37:47,2266.7,0:03:40,220.3,45.5717794,-122.7282201,182,10.38,1.51,0:39:44,2384,16.49,0:03:38,218,150,212,458,116,126,43
66,0:39:54,2393.7,0:05:14,314.3,45.4928771,-122.6111638,251,10.66,1.09,0:55:07,3307,16.03,0:03:45,225,336,269,514,110,131,48
67,0:35:54,2154.2,0:04:03,242.8,45.5717815,-122.7282349,193,10.42,4.05,0:14:49,889,17.41,0:03:27,207,192,228,467,113,132,55
67,0:44:39,2678.6,0:05:28,328.4,45.4928743,-122.611194,317,10.71,1.04,0:57:43,3463,14.4,0:04:10,250,261,201,549,97,127,59
68,0:36:10,2170,0:04:09,249,45.5719827,-122.727952,197,10.47,3.89,0:15:25,925,17.36,0:03:27,207,401,338,483,130,134,48
68,0:39:18,2358,0:04:24,264,45.4928867,-122.6112265,249,10.3,3.5,0:17:09,1029,15.73,0:03:49,229,374,313,489,110,128,52
69,0:37:22,2241.8,0:03:54,234.2,45.5719076,-122.7279698,186,10.53,,,,16.9,0:03:33,213,189,240,467,105,128,43
69,0:40:34,2433.6,0:03:57,237.4,45.4928838,-122.6111771,223,10.35,1.53,0:39:08,2348,15.31,0:03:55,235,251,200,493,101,126,42
70,0:37:29,2249,0:02:41,161,45.5717765,-122.7281907,149,10.36,3.74,0:16:02,962,16.58,0:03:37,217,152,199,473,110,129,39
70,0:39:59,2399.4,0:02:47,166.6,45.4929042,-122.6112192,240,10.6,1.14,0:52:36,3156,15.9,0:03:46,226,247,193,471,111,124,48
71,0:34:48,2087.5,0:03:42,222.5,45.5716553,-122.7282739,160,10.6,0.42,2:21:42,8502,18.28,0:03:17,197,244,288,460,111,133,45
71,0:37:14,2234.1,0:05:15,314.9,45.4928503,-122.6111984,228,10.44,,,,16.83,0:03:34,214,253,192,484,105,132,46
72,0:38:25,2304.9,0:04:28,268.1,45.5717671,-122.7281377,175,10.58,,,,16.52,0:03:38,218,145,196,460,102,125,40
72,0:37:23,2242.6,0:36:02,2162.4,45.4929612,-122.6111902,224,10.83,1.2,0:50:12,3012,17.39,0:03:27,207,256,188,466,86,128,50
73,0:35:26,2125.6,0:05:03,303.4,45.5719065,-122.7280758,173,10.45,1.81,0:33:05,1985,17.7,0:03:23,203,254,288,423,103,125,45
73,0:41:00,2460,0:02:35,155,45.492864,-122.6111987,228,10.58,1.28,0:47:02,2822,15.48,0:03:53,233,289,238,484,107,124,49
